subject,session,raw_error_rate,pct_drift
sub-01,ses-S1,0.6013667425968109,14.119601328903656
sub-01,ses-S2,0.6543739279588336,15.509409474367294
sub-01,ses-S3,0.5842026825633383,13.467829880043618
sub-02,ses-S1,0.5182795698924731,7.779578606158834
sub-02,ses-S2,0.5710681244743482,15.119852489244007
sub-02,ses-S3,0.5809334657398213,20.482809070958304
sub-03,ses-S1,0.5455555555555556,9.12311780336581
sub-03,ses-S2,0.5876826722338204,16.04631927212572
sub-03,ses-S3,0.5878428465530022,17.98913043478261
sub-04,ses-S1,0.5548216644649934,20.59426229508197
sub-04,ses-S2,0.5811764705882353,14.730878186968837
sub-04,ses-S3,0.5256222547584187,23.10385064177363
sub-05,ses-S1,0.6102272727272727,24.805531547104582
sub-05,ses-S2,0.6490066225165563,23.076923076923077
sub-05,ses-S3,0.5788177339901478,34.98513379583746
sub-06,ses-S1,0.6705882352941176,25.71638501102131
sub-06,ses-S2,0.6165413533834586,25.342058298631763
sub-06,ses-S3,0.6531986531986532,13.766730401529637
sub-07,ses-S1,0.5974358974358974,13.297872340425531
sub-07,ses-S2,0.5992292870905588,7.94078061911171
sub-07,ses-S3,0.6131105398457584,7.511737089201878
sub-08,ses-S1,0.5536332179930796,36.935704514363884
sub-08,ses-S2,0.5665399239543726,27.304347826086957
sub-08,ses-S3,0.5,8.361204013377927
sub-09,ses-S1,0.6349047141424273,11.384399156711174
sub-09,ses-S2,0.6173733195449845,10.582010582010582
sub-09,ses-S3,0.5735080058224163,7.282913165266107
sub-10,ses-S1,0.628361858190709,17.17369970559372
sub-10,ses-S2,0.5877520537714712,14.816839803171131
sub-10,ses-S3,0.5845122859270291,14.6489773355445
sub-11,ses-S1,0.6121399176954733,16.389728096676738
sub-11,ses-S2,0.6287978863936592,23.12703583061889
sub-11,ses-S3,0.582112567463377,25.0285062713797
sub-12,ses-S1,0.6171039844509232,24.894514767932492
sub-12,ses-S2,0.5868263473053892,22.05607476635514
sub-12,ses-S3,0.6278381046396841,14.713430282292558
sub-13,ses-S1,0.7335329341317365,9.203980099502488
sub-13,ses-S2,0.5701830863121186,63.69346733668342
sub-13,ses-S3,0.6041666666666666,16.01123595505618
sub-14,ses-S1,0.5627340823970037,28.51879145173176
sub-14,ses-S2,0.5584699453551912,24.20016406890894
sub-14,ses-S3,0.5845012366034625,31.851400730816078
sub-15,ses-S1,0.5777777777777777,39.1219512195122
sub-15,ses-S2,0.6439942112879884,14.19141914191419
sub-15,ses-S3,0.5159235668789809,9.12280701754386
sub-16,ses-S1,0.5557476231633535,21.987315010570825
sub-16,ses-S2,0.5791788856304986,17.088948787061994
sub-16,ses-S3,0.5814296241709653,25.189599133261105
sub-18,ses-S1,0.5909090909090909,13.36606655755592
sub-18,ses-S2,0.5844748858447488,10.201793721973095
sub-18,ses-S3,0.5751211631663974,5.257623554153523
sub-19,ses-S1,0.5909090909090909,13.36606655755592
sub-19,ses-S2,0.5844748858447488,10.201793721973095
sub-19,ses-S3,0.5751211631663974,5.257623554153523
sub-20,ses-S1,0.5909090909090909,13.36606655755592
sub-20,ses-S2,0.5844748858447488,10.201793721973095
sub-20,ses-S3,0.5751211631663974,5.257623554153523
sub-21,ses-S1,0.5909090909090909,13.36606655755592
sub-21,ses-S2,0.5844748858447488,10.201793721973095
sub-21,ses-S3,0.5751211631663974,5.257623554153523
