subject,session,n_trials,pct_optimal,pct_drift,mean_cumulative_drift,max_cumulative_drift,n_alerts,error_risk
sub-01,ses-S1,1906,86.20146904512067,8.237145855194123,8.237145855194123,90.0,6,40.6
sub-01,ses-S2,1641,83.97318708104814,9.567336989640463,9.567336989640463,100.0,4,38.2
sub-01,ses-S3,1934,89.76215098241985,4.756980351602896,4.756980351602896,35.0,0,40.2
sub-02,ses-S1,717,83.12412831241284,2.092050209205021,2.092050209205021,13.333333333333334,0,32.0
sub-02,ses-S2,1727,87.26114649681529,6.601042269832079,6.515151515151514,41.66666666666667,0,48.1
sub-02,ses-S3,1467,78.52760736196319,14.178595773687798,14.178595773687798,85.0,8,44.1
sub-03,ses-S1,1229,88.93409275834011,2.441008950366151,2.441008950366151,21.666666666666668,0,35.7
sub-03,ses-S2,1309,81.43621084797556,10.466004583651642,10.46600458365164,56.666666666666664,2,40.7
sub-03,ses-S3,1940,82.0618556701031,12.474226804123711,12.474226804123711,100.0,10,38.3
sub-04,ses-S1,1076,73.97769516728624,16.263940520446095,16.263940520446095,100.0,5,41.5
sub-04,ses-S2,1865,90.24128686327077,4.021447721179625,3.4807864164432525,26.666666666666668,0,39.4
sub-04,ses-S3,957,73.66771159874608,15.256008359456635,15.256008359456635,75.0,4,48.6
sub-05,ses-S1,1257,77.80429594272077,13.762927605409706,13.728453990983821,68.33333333333333,4,53.8
sub-05,ses-S2,958,80.1670146137787,8.872651356993737,8.834377174669449,45.0,0,53.2
sub-05,ses-S3,1109,63.11992786293958,27.321911632100992,27.263300270513977,100.0,11,55.4
sub-06,ses-S1,1461,72.68993839835728,20.123203285420946,18.474788957335157,100.0,8,50.6
sub-06,ses-S2,1781,76.53003930376192,17.51824817518248,17.51824817518248,100.0,11,57.4
sub-06,ses-S3,1146,85.42757417102966,5.322862129144852,5.322862129144852,38.333333333333336,0,42.1
sub-07,ses-S1,476,69.74789915966386,8.193277310924369,8.19327731092437,56.666666666666664,1,37.8
sub-07,ses-S2,1586,91.80327868852459,1.5762925598991173,1.5762925598991173,18.333333333333332,0,42.3
sub-07,ses-S3,1165,90.21459227467811,0.6866952789699571,0.6866952789699571,6.666666666666667,0,36.7
sub-08,ses-S1,831,55.234657039711195,32.12996389891697,29.251905334937824,100.0,9,46.1
sub-08,ses-S2,675,57.629629629629626,26.666666666666668,26.666666666666668,85.0,8,45.0
sub-08,ses-S3,399,72.18045112781955,1.5037593984962405,1.5037593984962405,10.0,0,29.3
sub-09,ses-S1,1523,90.67629678266579,2.4294156270518714,2.4294156270518714,30.0,0,45.2
sub-09,ses-S2,1423,86.71820098383697,5.903021784961349,5.903021784961349,81.66666666666667,2,46.5
sub-09,ses-S3,814,84.76658476658477,2.211302211302211,2.211302211302211,25.0,0,38.4
sub-10,ses-S1,1119,80.16085790884719,10.36639857015192,9.8138218647602,100.0,4,38.1
sub-10,ses-S2,1929,87.6101607050285,6.946604458268533,6.946604458268533,100.0,3,38.9
sub-10,ses-S3,1909,85.8040859088528,8.695652173913043,8.577789418543743,93.33333333333333,5,40.9
sub-11,ses-S1,1424,83.84831460674157,8.77808988764045,8.103932584269662,68.33333333333333,1,47.4
sub-11,ses-S2,1021,69.44172380019589,20.274240940254654,19.681684622918706,100.0,7,43.6
sub-11,ses-S3,1854,74.16396979503776,20.17259978425027,20.12405609492988,100.0,13,50.9
sub-12,ses-S1,1285,70.42801556420234,21.245136186770427,21.245136186770427,76.66666666666667,6,45.5
sub-12,ses-S2,635,70.39370078740157,12.913385826771654,12.913385826771654,100.0,3,42.1
sub-12,ses-S3,1269,81.16627265563436,10.480693459416864,10.480693459416864,80.0,4,38.8
sub-13,ses-S1,502,74.7011952191235,4.382470119521912,4.382470119521912,36.666666666666664,0,31.4
sub-13,ses-S2,1692,31.914893617021278,61.87943262411348,61.87943262411348,100.0,37,66.5
sub-13,ses-S3,456,70.6140350877193,6.359649122807017,3.9290935672514626,25.0,0,39.9
sub-14,ses-S1,1457,71.10501029512697,21.61976664378861,21.61976664378861,100.0,12,55.7
sub-14,ses-S2,1319,76.42153146322973,15.61789234268385,15.617892342683854,100.0,7,50.2
sub-14,ses-S3,1742,64.58094144661308,29.33409873708381,29.334098737083806,100.0,19,52.6
sub-15,ses-S1,1125,53.333333333333336,37.333333333333336,37.333333333333336,100.0,15,50.5
sub-15,ses-S2,1009,78.79088206144698,10.70366699702676,10.70366699702676,56.666666666666664,2,34.7
sub-15,ses-S3,955,86.07329842931937,2.8272251308900525,2.8272251308900525,28.333333333333332,0,38.4
sub-16,ses-S1,1519,79.32850559578671,13.69321922317314,13.69321922317314,90.0,5,53.0
sub-16,ses-S2,1955,86.13810741687979,8.439897698209718,8.439897698209718,60.0,2,42.7
sub-16,ses-S3,1946,75.53956834532374,19.013360739979444,17.56509078451525,100.0,12,46.0
